id_Ville,Num_Dep,Nom_Ville,Longitude,Latitude
132,1,FRANCHELEINS,4.8,46.0667
133,1,DORTAN,5.66667,46.3167
134,1,SAINT-GERMAIN-LES-PAROISSES,5.61667,45.7667
135,1,MIRIBEL,4.95306,45.8245
136,1,LANCRANS,5.83333,46.1333
137,1,ECHENEVEX,6.03333,46.3167
138,1,SAINT-JEAN-SUR-VEYLE,4.91667,46.25
139,1,BILLIAT,5.78333,46.0667
140,1,L'ABERGEMENT-DE-VAREY,5.41667,46
141,1,VILLENEUVE,4.83667,46.0212
142,1,VILLARS-LES-DOMBES,5.01667,46
143,1,THEZILLIEU,5.6,45.8833
144,1,SAINT-ETIENNE-SUR-REYSSOUZE,5,46.4
145,1,SOUCLIN,5.41667,45.8667
146,1,SAINT-JUST,5.28,46.1903
147,1,CIVRIEUX,4.88333,45.9167
148,1,ARGIS,5.48333,45.9333
149,1,TALISSIEU,5.71667,45.8667
150,1,BIRIEUX,5.03333,45.95
151,1,SAINT-JULIEN-SUR-VEYLE,4.95,46.2
152,1,THOIRY,5.97973,46.2364
153,1,LAIZ,4.88333,46.25
154,1,CRESSIN-ROCHEFORT,5.76667,45.7667
155,1,SAINT-CHAMP,5.73333,45.7833
156,1,SAINT-GEORGES-SUR-RENON,5.03333,46.1
157,1,LANTENAY,5.53333,46.05
158,1,VERNOUX,5.11667,46.4833
159,1,CORMARANCHE-EN-BUGEY,5.6,45.95
160,1,SAINTE-EUPHEMIE,4.78333,45.9667
161,1,BEAUPONT,5.26667,46.4
162,1,BRENS,5.69473,45.7187
163,1,RAMASSE,5.35,46.2
164,1,DIVONNE-LES-BAINS,6.13333,46.3667
165,1,LEAZ,5.88333,46.1
166,1,VILLES,5.78333,46.0833
167,1,SAINT-JULIEN-SUR-REYSSOUZE,5.11667,46.4
168,1,GROSLEE,5.56667,45.7167
169,1,VANDEINS,5.08333,46.2167
170,1,VERJON,5.35,46.35
171,1,SAINT-ANDRE-SUR-VIEUX-JONC,5.06667,46.15
172,1,SAINT-ANDRE-D'HUIRIAT,4.91667,46.2167
173,1,GRILLY,6.11667,46.3333
174,1,CESSY,6.06667,46.3167
175,1,ORDONNAZ,5.53333,45.8333
176,1,VESCOURS,5.03333,46.4667
177,1,MEILLONNAS,5.35,46.25
178,1,GEOVREISSET,5.6,46.25
179,1,CEYZERIEU,5.73333,45.8333
180,1,BEARD-GEOVREISSIAT,5.56667,46.2
181,1,LA BURBANCHE,5.56667,45.85
182,1,PERREX,4.98333,46.2333
183,1,VILLEMOTIER,5.31667,46.35
184,1,JASSERON,5.33333,46.2167
185,1,CORVEISSIAT,5.48333,46.2333
186,1,JOURNANS,5.33333,46.15
187,1,SERMOYER,4.98333,46.5
188,1,CHARIX,5.68333,46.1833
189,1,ARBIGNIEU,5.65,45.7333
190,1,LEYSSARD,5.46667,46.1667
191,1,SAINT-JEAN-DE-THURIGNEUX,4.88333,45.95
192,1,FRANS,4.78333,45.9833
193,1,TENAY,5.5,45.9167
194,1,BAGE-LA-VILLE,4.95,46.3167
195,1,MONTMERLE-SUR-SAONE,4.76667,46.0833
196,1,COURMANGOUX,5.36667,46.3333
197,1,BANEINS,4.9,46.1167
198,1,LAGNIEU,5.35,45.9
199,1,ATTIGNAT,5.16667,46.2833
200,1,SAINT-ANDRE-DE-BAGE,4.91667,46.3
201,1,PONT-DE-VAUX,4.93333,46.4333
202,1,AMBERIEU-EN-BUGEY,5.35,45.95
203,1,PEYZIEUX-SUR-SAONE,4.81667,46.1167
204,1,CROZET,6.01251,46.2806
205,1,SEYSSEL,5.83194,45.9597
206,1,BEYNOST,5,45.8333
207,1,VERSONNEX,6.09723,46.3023
208,1,SAINT-LAURENT-SUR-SAONE,4.83333,46.3
209,1,ARTEMARE,5.7,45.8667
210,1,MONTRACOL,5.11667,46.1833
211,1,PARVES,5.75,45.75
212,1,PUGIEU,5.65,45.8167
213,1,VIRIEU-LE-GRAND,5.65,45.85
214,1,SAINT-REMY,5.16667,46.1833
215,1,RANCE,4.86667,45.9667
216,1,GRIEGES,4.85,46.25
217,1,GRAND-CORENT,5.43333,46.2
218,1,OUTRIAZ,5.55,46.0667
219,1,MONTAGNIEU,5.46667,45.8
220,1,CHAMPAGNE-EN-VALROMEY,5.68333,45.9
221,1,AMBERIEUX-EN-DOMBES,4.9,46
222,1,LA BOISSE,5.03333,45.85
223,1,PARCIEUX,4.81667,45.9167
224,1,SAINT-DIDIER-D'AUSSIAT,5.06667,46.3
225,1,SAINT-NIZIER-LE-BOUCHOUX,5.15,46.45
226,1,ARS-SUR-FORMANS,4.81667,45.9833
