Num_commune,Num_Dep,Nom_Ville,Longitude,Latitude
01085,01,LA CHAPELLE-DU-CHATELARD,5.03333,46.0667
01361,01,SAINT-JEAN-DE-NIOST,5.21667,45.8333
01398,01,SAVIGNEUX,4.85,46
01271,01,NATTAGES,5.76667,45.7333
01338,01,SAINT-BENOIT,5.58333,45.7
01149,01,DOUVRES,5.36667,45.9833
01165,01,FRANCHELEINS,4.8,46.0667
01148,01,DORTAN,5.66667,46.3167
01358,01,SAINT-GERMAIN-LES-PAROISSES,5.61667,45.7667
01249,01,MIRIBEL,4.95306,45.8245
01205,01,LANCRANS,5.83333,46.1333
01153,01,ECHENEVEX,6.03333,46.3167
01365,01,SAINT-JEAN-SUR-VEYLE,4.91667,46.25
01044,01,BILLIAT,5.78333,46.0667
01002,01,L'ABERGEMENT-DE-VAREY,5.41667,46
01446,01,VILLENEUVE,4.83667,46.0212
01443,01,VILLARS-LES-DOMBES,5.01667,46
01417,01,THEZILLIEU,5.6,45.8833
01352,01,SAINT-ETIENNE-SUR-REYSSOUZE,5,46.4
01411,01,SOUCLIN,5.41667,45.8667
01369,01,SAINT-JUST,5.28,46.1903
01105,01,CIVRIEUX,4.88333,45.9167
01017,01,ARGIS,5.48333,45.9333
01415,01,TALISSIEU,5.71667,45.8667
01045,01,BIRIEUX,5.03333,45.95
01368,01,SAINT-JULIEN-SUR-VEYLE,4.95,46.2
01419,01,THOIRY,5.97973,46.2364
01203,01,LAIZ,4.88333,46.25
01133,01,CRESSIN-ROCHEFORT,5.76667,45.7667
01341,01,SAINT-CHAMP,5.73333,45.7833
01356,01,SAINT-GEORGES-SUR-RENON,5.03333,46.1
01206,01,LANTENAY,5.53333,46.05
01433,01,VERNOUX,5.11667,46.4833
01122,01,CORMARANCHE-EN-BUGEY,5.6,45.95
01353,01,SAINTE-EUPHEMIE,4.78333,45.9667
01029,01,BEAUPONT,5.26667,46.4
01061,01,BRENS,5.69473,45.7187
01317,01,RAMASSE,5.35,46.2
01143,01,DIVONNE-LES-BAINS,6.13333,46.3667
01209,01,LEAZ,5.88333,46.1
01448,01,VILLES,5.78333,46.0833
01367,01,SAINT-JULIEN-SUR-REYSSOUZE,5.11667,46.4
01182,01,GROSLEE,5.56667,45.7167
01429,01,VANDEINS,5.08333,46.2167
01432,01,VERJON,5.35,46.35
01336,01,SAINT-ANDRE-SUR-VIEUX-JONC,5.06667,46.15
01334,01,SAINT-ANDRE-D'HUIRIAT,4.91667,46.2167
01180,01,GRILLY,6.11667,46.3333
01071,01,CESSY,6.06667,46.3167
01280,01,ORDONNAZ,5.53333,45.8333
01437,01,VESCOURS,5.03333,46.4667
01241,01,MEILLONNAS,5.35,46.25
01171,01,GEOVREISSET,5.6,46.25
01073,01,CEYZERIEU,5.73333,45.8333
01170,01,BEARD-GEOVREISSIAT,5.56667,46.2
01066,01,LA BURBANCHE,5.56667,45.85
01291,01,PERREX,4.98333,46.2333
01445,01,VILLEMOTIER,5.31667,46.35
01195,01,JASSERON,5.33333,46.2167
01125,01,CORVEISSIAT,5.48333,46.2333
01197,01,JOURNANS,5.33333,46.15
01402,01,SERMOYER,4.98333,46.5
01087,01,CHARIX,5.68333,46.1833
01015,01,ARBIGNIEU,5.65,45.7333
01214,01,LEYSSARD,5.46667,46.1667
01362,01,SAINT-JEAN-DE-THURIGNEUX,4.88333,45.95
01166,01,FRANS,4.78333,45.9833
01416,01,TENAY,5.5,45.9167
01025,01,BAGE-LA-VILLE,4.95,46.3167
01263,01,MONTMERLE-SUR-SAONE,4.76667,46.0833
01127,01,COURMANGOUX,5.36667,46.3333
01028,01,BANEINS,4.9,46.1167
01202,01,LAGNIEU,5.35,45.9
01024,01,ATTIGNAT,5.16667,46.2833
01332,01,SAINT-ANDRE-DE-BAGE,4.91667,46.3
01305,01,PONT-DE-VAUX,4.93333,46.4333
01004,01,AMBERIEU-EN-BUGEY,5.35,45.95
01295,01,PEYZIEUX-SUR-SAONE,4.81667,46.1167
01135,01,CROZET,6.01251,46.2806
01407,01,SEYSSEL,5.83194,45.9597
01043,01,BEYNOST,5,45.8333
01435,01,VERSONNEX,6.09723,46.3023
01370,01,SAINT-LAURENT-SUR-SAONE,4.83333,46.3
01022,01,ARTEMARE,5.7,45.8667
01264,01,MONTRACOL,5.11667,46.1833
01286,01,PARVES,5.75,45.75
01316,01,PUGIEU,5.65,45.8167
01452,01,VIRIEU-LE-GRAND,5.65,45.85
01385,01,SAINT-REMY,5.16667,46.1833
01318,01,RANCE,4.86667,45.9667
01179,01,GRIEGES,4.85,46.25
01177,01,GRAND-CORENT,5.43333,46.2
01282,01,OUTRIAZ,5.55,46.0667
01255,01,MONTAGNIEU,5.46667,45.8
01079,01,CHAMPAGNE-EN-VALROMEY,5.68333,45.9
01005,01,AMBERIEUX-EN-DOMBES,4.9,46
01049,01,LA BOISSE,5.03333,45.85
01285,01,PARCIEUX,4.81667,45.9167
01346,01,SAINT-DIDIER-D'AUSSIAT,5.06667,46.3
01380,01,SAINT-NIZIER-LE-BOUCHOUX,5.15,46.45
01021,01,ARS-SUR-FORMANS,4.81667,45.9833
01010,01,ANGLEFORT,5.80833,45.9167
01121,01,CORLIER,5.5,46.0333
01160,01,FERNEY-VOLTAIRE,6.11667,46.25
01379,01,SAINT-MAURICE-DE-REMENS,5.28333,45.95
01092,01,CHATILLON-LA-PALUD,5.25,45.9667
01387,01,SAINT-SULPICE,5.04167,46.3203
01340,01,SAINT-BOIS,5.63333,45.7
01454,01,VIRIGNIN,5.71667,45.7167
01311,01,PREMILLIEU,5.56667,45.8667
01169,01,GENOUILLEUX,4.78333,46.1167
01323,01,REYSSOUZE,4.91667,46.4333
01109,01,COLLONGES,5.9,46.1333
01357,01,SAINT-GERMAIN-DE-JOUX,5.73333,46.1833
01058,01,BREGNIER-CORDON,5.61667,45.65
01375,01,SAINT-MARTIN-LE-CHATEL,5.11667,46.2833
01234,01,MARIGNIEU,5.71667,45.8
01274,01,LES NEYROLLES,5.63333,46.1333
01412,01,SULIGNAT,4.96667,46.1667
01038,01,BENY,5.28333,46.3333
01189,01,INJOUX-GENISSIAT,5.78333,46.05
01082,01,CHANAY,5.78333,46
01093,01,CHATILLON-SUR-CHALARONNE,4.96667,46.1167
01158,01,FARGES,5.91667,46.1667
01331,01,SAINT-ALBAN,5.45,46.1
01140,01,CURTAFOND,5.08333,46.2667
01451,01,VIRIAT,5.21667,46.25
01035,01,BELLEYDOUX,5.76667,46.25
01026,01,BAGE-LE-CHATEL,4.93333,46.3
01382,01,SAINTE-OLIVE,4.93333,46.0167
01355,01,SAINT-GENIS-SUR-MENTHON,5.01667,46.2833
01147,01,DOMSURE,5.3,46.4167
01095,01,CHAVANNES-SUR-SURAN,5.41667,46.2667
01314,01,PRIAY,5.28333,46
01294,01,PEYRIEU,5.67751,45.6767
01204,01,LALLEYRIAT,5.71667,46.15
01401,01,SERGY,6,46.25
01373,01,SAINT-MARTIN-DU-FRENE,5.55,46.1333
01376,01,SAINT-MAURICE-DE-BEYNOST,4.96667,45.8333
01405,01,SERVAS,5.16667,46.1333
01141,01,CUZIEU,5.67445,45.8192
01196,01,JAYAT,5.11667,46.3667
01208,01,LAVOURS,5.76667,45.8
01102,01,CHEVROUX,4.95,46.3833
01302,01,POLLIEU,5.75,45.8
01032,01,BELIGNEUX,5.11667,45.8667
01059,01,BRENAZ,5.71667,45.95
01037,01,BENONCES,5.48333,45.8333
01363,01,SAINT-JEAN-LE-VIEUX,5.38917,46.0284
01030,01,BEAUREGARD,4.75139,46.002
01283,01,OYONNAX,5.66667,46.25
01248,01,MIONNAY,4.93333,45.9
01172,01,GERMAGNAT,5.45,46.3167
01108,01,COLIGNY,5.35,46.3833
01408,01,SIMANDRE-SUR-SURAN,5.41667,46.2167
01001,01,L'ABERGEMENT-CLEMENCIAT,4.91667,46.15
01212,01,LESCHEROUX,5.15,46.4
01281,01,ORNEX,6.1,46.2833
01144,01,DOMMARTIN,4.99167,46.3417
01219,01,LOMPNAS,5.51667,45.8
01041,01,BETTANT,5.36667,45.9333
01019,01,ARMIX,5.58333,45.85
01159,01,FEILLENS,4.88333,46.3333
01097,01,CHAVORNAY,5.7,45.8833
01078,01,CHALLEX,5.96667,46.1833
01456,01,VONGNES,5.71667,45.8167
01227,01,MAGNIEU,5.71667,45.7833
01181,01,GROISSIAT,5.6,46.2167
01146,01,DOMPIERRE-SUR-CHALARONNE,4.9,46.1333
01262,01,MONTLUEL,5.05,45.85
01300,01,LE POIZAT,5.7,46.15
01186,01,HOSTIAZ,5.53333,45.9
01257,01,MONTANGES,5.8,46.1667
01366,01,SAINTE-JULIE,5.28333,45.8833
01042,01,BEY,4.85,46.2167
